id,region,country,subnat_region
992,Marinilla,Colombia,Antioquia
993,Zafarabad,Tajikistan,Zafarabad
997,Kampong Cham,Cambodia,Kampong Cham
1009,Yavan,Tajikistan,Yavan
1015,Melitopol,Ukraine,Ukraine
1021,Huarochiri,Peru,Huarochiri
1022,Lima,Peru,Lima
1041,San Miguel,El Salvador,San Miguel
1049,Imphal East,India,Manipur
1053,Taguig City,Philippines,Metro Manila
1067,Mwanza,Tanzania,Mwanza
1076,"Tudela-Segatic Diot, Clarin, Mis.Occ",Philippines,Misamis Occidental
1080,,Indonesia,
1106,Cilegon,Indonesia,Banten
1107,Siem Reap,Cambodia,Siem Reap
1113,Waterloo,Sierra Leone,Waterloo
1136,,Kosovo,
1139,"Bagnos, Aurora, Isabela",Philippines,Isabela
1149,Sacatepéquez,Guatemala,Sacatepéquez
1152,Tombo,Sierra Leone,Tombo
1154,Korce,Albania,Korce
1155,Shahristan,Tajikistan,Shahristan
1168,"District 1 San Manuel, Isabela",Philippines,Isabela
1179,Lesichine,Georgia,Lesichine
1195,Callayuc - Cajamarca,Peru,Callayuc - Cajamarca
1198,Huayllabamba - Urubamba - Cusco,Peru,Huayllabamba - Urubamba - Cusco
1202,Buriticá,Colombia,Antioquia
1220,"Calamba-Poblacion, Sibutad ZDN",Philippines,"Calamba-Poblacion, Sibutad ZDN"
1225,Ozurgeti,Georgia,Ozurgeti
1264,Sanniquellie,Liberia,Sanniquellie
1271,"Kabankalan, Negros Occidental",Philippines,Negros Occidental
1278,"Brgy. Parai, Dupax del Norte, Nueva Vizcaya",Philippines,"Brgy. Parai, Dupax del Norte, Nueva Vizcaya"
1287,"Maligaya, Tumauini, Isabela",Philippines,Isabela
1293,"Melaya, Bali",Indonesia,Bali
1302,Belaya Tserkov,Ukraine,Ukraine
1305,"Tudela - Tudela ,Misamis Occidental",Philippines,Misamis Occidental
1308,Puerto Triunfo,Colombia,Antioquia
1314,"Taytay, Palawan",Philippines,Palawan
1317,"Goma, North Kivu province",The Democratic Republic of the Congo,"Goma, North Kivu province"
1318,"Alajuela, San Rafael",Costa Rica,Alajuela
1321,Nyahururu,Kenya,Nyahururu
1325,Ndunyu Njeru,Kenya,Ndunyu Njeru
1326,Dili,Timor-Leste,Dili
1327,Hargeisa,Somalia,Hargeisa
1329,Choluteca,Honduras,Choluteca
1330,Puntarenas,Costa Rica,Puntarenas Province
1336,Panjakent,Tajikistan,Panjakent
1337,,Timor-Leste,
1340,Narok,Kenya,Narok
1344,"Isabela, Negros Occidental",Philippines,Negros Occidental
1347,Ouelessebougou,Mali,Ouelessebougou
1350,Granada,Nicaragua,Granada
1351,Usulután,El Salvador,Usulután
1352,Ho Chi Minh City,Vietnam,Ho Chi Minh City
1356,"Rafah city, Gaza Strip",Palestine,"Rafah city, Gaza Strip"
1365,"Baleleng, Sto. Thomas, Isabela",Philippines,Isabela
1368,Daska,Pakistan,Punjab
1375,Jamoat Ismoil,Tajikistan,Jamoat Ismoil
1379,San Lorenzo,Honduras,San Lorenzo
1381,Tosagua,Ecuador,Tosagua
1386,Dongorona,Mali,Dongorona
1392,"Casambalangan, Sta. Ana, Cagayan",Philippines,Cagayan
1393,"Oroquieta City, Misamis Occidental",Philippines,Misamis Occidental
1395,Naivasha,Kenya,Naivasha
1400,Mutare,Zimbabwe,Mutare
1404,Masindi,Uganda,Masindi
1405,Bafoussam,Cameroon,Bafoussam
1412,,Turkey,
1415,Lafiabougou,Mali,Bamako
1423,Jenin City-West Bank,Palestine,Jenin City-West Bank
1430,J.Rumy,Tajikistan,J.Rumy
1435,Aden,Yemen,Aden
1437,taulabe,Honduras,taulabe
1442,"Quezon, Palawan",Philippines,Palawan
1445,Gitega,Burundi,Gitega
1449,,Philippines,
1454,Hafizabad,Pakistan,Punjab
1470,"Mabini, Gamu, Isabela",Philippines,Isabela
1474,"Vira, Roxas, Isabela",Philippines,Isabela
1478,"San Carlos, Morazan",El Salvador,"San Carlos, Morazan"
1480,Olkalou,Kenya,Olkalou
1488,Embu-town,Kenya,Embu-town
1491,Lyantonde,Uganda,Lyantonde
1494,"Tanza, Cavite",Philippines,Cavite
1497,Spitamen,Tajikistan,Spitamen
1500,CHINCHA,Peru,CHINCHA
1505,Seguku - Entebbe Road,Uganda,Kampala
1524,"Kangemi,Nairobi",Kenya,Nairobi
1527,Agdas,Azerbaijan,Agdas
1529,,Palestine,
1543,Multan,Pakistan,Punjab
1557,Badung_Bali_Indonesia,Indonesia,Bali
1558,Thika,Kenya,Thika
1577,"Poblacion, Aurora, Zamboanga del Sur",Philippines,Zamboanga del Sur
1584,Santiago,Dominican Republic,Santiago
1588,"Punta,Pana-on,Misamis Occidental",Philippines,7205 Misamis Occidental
1593,Douala,Cameroon,Douala
1599,Nosiri Khusrav,Tajikistan,Khujand
1610,Kangaré,Mali,Kangaré
1629,Santa Fe de Antioquia,Colombia,Antioquia
1660,comunidad de huandar-pisac,Peru,comunidad de huandar-pisac
1664,"Brgy. Paniki, Bagabag,Nueva Vizcaya",Philippines,"Brgy. Paniki, Bagabag,Nueva Vizcaya"
1675,,Burundi,
1681,Oroquieta City Misamis Occidental,Philippines,Misamis Occidental
1685,Sorocaba,Brazil,State of São Paulo
1690,Mandi Bhauddin,Pakistan,Punjab
1692,Namasuba,Uganda,Kampala
1711,,Tajikistan,
1719,"Nezahualcoyotl, México",Mexico,State of Mexico
1724,La Unión,El Salvador,La Unión
1729,"Aloran, Misamis Occidental",Philippines,Misamis Occidental
1736,Tursunzade,Tajikistan,Tursunzade
1763,Bandung Barat,Indonesia,West Java
1777,Faraba,Mali,Faraba
1780,Santa Cruz de Yojoa,Honduras,Santa Cruz de Yojoa
1786,Portoviejo,Ecuador,Portoviejo
1789,Kharian,Pakistan,Punjab
1812,"La Castellana, Negros Occidental",Philippines,Negros Occidental
1815,Agsu,Azerbaijan,Agsu
1819,Yaoundé,Cameroon,Yaoundé
1823,Makeni,Sierra Leone,Makeni
1827,"Bais, Negros Oriental",Philippines,Negros Oriental
1830,Kurgantyube,Tajikistan,Kurgantyube
1831,"Cordova, Cebu",Philippines,Cebu
1833,San Juan Pueblo.,Honduras,San Juan Pueblo.
1834,Masaya,Nicaragua,Masaya
1841,Gelati,Georgia,Motsameta
1843,"Dalaguete, Cebu",Philippines,Cebu
1845,"Bacnor West, Burgos, Isabela",Philippines,Isabela
1847,"Tukuran, Zamboanga Del Sur",Philippines,Zamboanga del Sur
1853,Kisauni,Kenya,Mombasa
1862,Ndaragwa,Kenya,Ndaragwa
1864,Chkhorotsku,Georgia,Chkhorotsku
1868,Velistsikhe,Georgia,Velistsikhe
1869,Khamiskuri,Georgia,Khamiskuri
1870,Maliana,Timor-Leste,Maliana
1878,"Teplokluchenka village, Issyk-Kul region",Kyrgyzstan,"Teplokluchenka village, Issyk-Kul region"
1879,Saikul,India,Manipur
1893,"Sindangan- Sindangan, Zamboanga del Norte",Philippines,Zamboanga del Norte
1905,"Narra, Palawan",Philippines,Palawan
1914,"Iztapalapa, D.F.",Mexico,CDMX
1915,Gori,Georgia,Gori
1917,Tsodniskari,Georgia,Tsodniskari
1923,Pisco,Peru,Pisco
1924,Kadiana,Mali,Kadiana
1929,Kagadi,Uganda,Kagadi
1930,"Calamba, Misamis, Occidental",Philippines,Misamis Occidental
1933,"Jimenez, Misamis  Occidental",Philippines,Misamis Occidental
1941,Nyamira,Kenya,Nyamira
1944,Mbeya,Tanzania,Mbeya
1948,Gujranwala,Pakistan,Punjab
1951,Fort Portal,Uganda,Fort Portal
1956,Tousseguela,Mali,Tousseguela
1967,Nasakirali,Georgia,Nasakirali
1981,"Poblacion, Sibutad, Zamboanga del Norte",Philippines,Zamboanga del Norte
1986,"Tagbilaran, Bohol",Philippines,Bohol
1993,Samtredia,Georgia,Samtredia
1997,Gamarjveba,Georgia,Gamarjveba
2014,Nagakeo,Indonesia,East Nusa Tenggara
2017,Sadguri Metekhi,Georgia,Sadguri Metekhi
2057,Kaiyndy village,Kyrgyzstan,Kaiyndy village
2069,Montecristi,Ecuador,Montecristi
2071,Pokrovka village,Kyrgyzstan,Pokrovka village
2084,"Iraga, Solana, Cagayan",Philippines,Cagayan
2088,Calmba Misamis Occidental,Philippines,Misamis Occidental
2095,"Barili, Cebu",Philippines,Cebu
2101,"sindangan, zamboanga del norte",Philippines,Zamboanga del Norte
2102,"Sibugun, Lopez Jaena Misamis Occidental",Philippines,Misamis Occidental
2105,Calamba Mismis Occidental,Philippines,Misamis Occidental
2108,Tarapoto,Peru,Tarapoto
2117,Moron,Mali,Buenos Aires
2158,Bundibugyo,Uganda,Bundibugyo
2174,"Olango, Mallig, Isabela",Philippines,Isabela
2181,maras-urubamba,Peru,maras-urubamba
2194,"Planas Ramon, Isabela",Philippines,Isabela
2196,El Progreso.,Honduras,El Progreso.
2220,"Bonifacio, Misamis Occidental",Philippines,Misamis Occidental
2229,Farkhor,Tajikistan,Farkhor
2235,"Binkolo, Makeni",Sierra Leone,"Binkolo, Makeni"
2244,Jahanian,Pakistan,Punjab
2247,,Honduras,
2255,Jigrasheni,Georgia,Jigrasheni
2261,Nabón,Ecuador,Nabón
2279,"Esperanza West, Aurora, Isabela",Philippines,Isabela
2283,Tlalpan,Mexico,Mexico City
2286,Same,Timor-Leste,Same
2314,Senaki,Georgia,Senaki
2324,Armavir,Armenia,Armavir
2327,"Baclayon, Bohol",Philippines,Bohol
2328,Dioïla ,Mali,Dioïla 
2332,Goris,Armenia,Goris
2335,Roatan,Honduras,Roatan
2339,Rumichaca Baja - Urubamba,Peru,
2341,Thilène,Senegal,Thilène
2343,Elbasan,Albania,Elbasan
2350,Paynesville South,Liberia,Paynesville South
2351,Congo Town,Liberia,Monrovia
2353,"Bayawan, Negros Oriental",Philippines,Negros Oriental
2356,Nitop One  Bamenda N.W.P  B,Cameroon,Nitop One  Bamenda N.W.P  B
2358,Paucartambo - Cusco,Peru,Paucartambo - Cusco
2359,"Mile 90, Bamenda, N.W. Province",Cameroon,"Mile 90, Bamenda, N.W. Province"
2360,Sadiobougou,Mali,Sadiobougou
2366,Kanibadam,Tajikistan,Kanibadam
2369,"Seti, Jimenez Mis. Occ",Philippines,"Seti, Jimenez Mis. Occ"
2371,Kampong Speu,Cambodia,Kampong Speu
2382,Baturiti_Tabanan_Bali,Indonesia,Bali
